StudyHours,Attendance,PreviousScore,AssignmentScore,SleepHours,FinalScore
5.7,78.5,58.1,43.0,8.6,61.3
4.8,90.4,51.8,64.4,6.6,63.5
5.7,82.0,73.4,51.5,6.7,75.6
1.1,95.7,52.4,55.0,6.8,56.8
5.0,66.1,95.7,72.4,7.3,80.1
6.3,79.6,48.4,51.0,6.3,61.8
8.8,79.0,72.1,64.7,4.0,73.4
4.4,65.2,91.5,72.7,8.4,82.0
3.7,89.5,77.0,50.4,9.2,71.9
4.4,100.0,70.6,68.9,6.3,75.6
7.5,77.8,53.5,36.0,5.7,59.1
6.2,84.1,47.3,57.9,6.8,71.3
4.3,79.0,79.6,64.1,6.8,69.0
6.6,69.4,90.6,54.9,8.2,85.8
5.7,56.2,61.4,46.3,7.1,54.6
7.6,69.5,50.9,45.8,6.0,62.8
4.0,61.3,31.1,47.0,5.4,42.3
4.8,98.4,53.3,60.5,8.0,66.1
4.6,76.6,66.3,63.4,7.7,65.4
2.3,73.8,92.0,83.5,8.3,79.7
6.2,88.7,78.1,69.4,5.8,80.7
6.1,64.5,72.6,67.1,9.2,82.6
5.5,68.8,62.0,61.8,4.9,59.2
5.0,78.8,59.3,47.0,7.9,59.4
2.4,90.3,89.1,88.4,4.7,80.1
4.6,84.0,71.0,53.7,6.1,66.2
4.7,81.0,36.5,52.7,8.9,52.6
3.7,78.9,57.9,44.4,8.0,62.1
5.1,82.8,55.1,60.8,6.3,50.1
6.4,80.4,59.8,72.9,6.4,68.4
9.6,65.6,76.4,61.7,7.1,74.4
5.9,78.6,66.4,59.1,7.6,64.9
6.1,65.1,66.8,62.9,8.5,81.0
5.3,79.0,87.7,70.3,6.5,83.4
1.3,72.2,57.6,69.3,5.1,57.2
5.4,100.0,96.0,84.3,7.2,93.0
5.6,77.5,57.9,53.7,6.5,66.2
10.9,61.1,69.3,54.1,5.4,69.8
5.1,76.4,63.8,51.7,7.4,69.2
6.2,84.2,69.9,59.5,6.7,69.4
5.4,98.1,74.7,67.8,7.4,76.5
2.9,70.9,74.5,59.8,5.9,65.6
8.0,59.0,56.7,45.7,7.6,65.3
7.2,87.8,51.2,71.9,5.4,69.6
7.2,61.4,100.0,67.1,6.0,80.6
3.5,72.8,60.7,57.8,6.7,59.4
8.6,74.9,78.5,71.6,9.1,91.3
2.4,77.2,43.9,53.5,7.9,46.6
6.8,86.3,63.8,61.2,8.3,80.1
10.3,69.8,66.1,56.9,8.7,76.5
3.3,74.7,75.1,68.6,10.0,71.7
4.3,77.8,30.0,43.1,7.0,50.8
5.7,79.8,70.5,61.7,8.7,70.7
4.4,79.2,50.8,40.2,8.2,59.7
2.1,83.2,72.9,62.2,8.2,74.7
5.7,88.1,52.5,46.7,9.1,64.2
3.2,82.7,55.2,50.7,6.5,53.2
6.5,83.4,63.9,61.3,6.4,67.5
3.5,59.0,52.2,51.3,7.4,57.1
8.9,78.6,60.9,72.4,6.8,83.7
3.8,83.8,50.1,49.2,7.4,61.9
4.8,86.7,40.5,55.1,8.9,56.8
7.3,69.7,83.3,70.7,6.4,86.6
2.8,70.1,48.6,59.6,6.6,50.9
6.0,71.1,65.3,63.3,7.2,65.2
8.4,84.4,79.3,61.6,6.7,88.9
2.0,90.4,58.8,46.2,4.7,60.1
5.9,73.1,55.6,56.3,6.3,57.4
6.1,88.9,71.4,62.3,7.8,71.6
7.2,79.5,84.8,63.7,8.7,85.1
2.8,76.5,50.5,41.8,5.6,52.2
2.6,75.5,65.7,61.3,5.6,54.2
6.6,87.0,42.0,61.9,7.0,63.2
6.2,81.9,62.1,56.4,4.5,63.3
6.1,100.0,68.5,72.4,6.5,81.5
6.3,67.8,55.2,51.5,4.9,55.6
4.0,84.2,61.1,49.3,8.6,66.0
6.0,71.6,46.9,54.6,6.1,56.5
6.1,67.6,69.2,51.2,9.0,65.2
3.9,77.9,83.8,70.7,8.3,77.2
9.6,79.6,51.5,50.5,6.2,60.7
6.5,100.0,58.7,69.4,5.7,70.6
2.9,75.8,75.5,57.0,6.8,66.5
6.9,64.4,86.2,71.6,6.9,74.0
3.4,81.3,45.6,43.7,7.4,38.7
7.2,53.1,65.5,50.2,6.1,53.9
8.0,76.9,72.2,34.9,7.9,78.4
3.7,78.2,66.5,77.9,7.3,68.6
7.6,87.5,30.8,48.2,6.6,53.3
6.4,89.7,75.5,62.8,6.1,81.9
7.3,72.0,90.8,63.9,6.8,82.9
9.7,76.2,69.7,58.4,6.0,80.7
5.0,68.8,52.5,56.8,7.1,58.4
3.8,64.5,60.3,39.2,7.1,51.5
3.5,81.7,94.5,76.3,7.3,83.5
3.7,62.7,81.6,79.7,9.1,78.8
5.3,73.0,77.6,56.9,6.8,70.8
6.3,66.1,73.3,62.5,8.2,71.5
6.1,84.6,58.1,75.7,7.3,70.4
7.3,99.6,65.0,70.7,6.7,69.1
5.5,62.4,66.8,58.3,6.9,66.6
8.7,55.8,76.2,64.9,6.9,73.0
4.9,76.5,90.6,70.7,7.3,84.3
11.5,78.2,84.8,81.6,5.8,97.0
6.9,80.6,46.7,47.6,5.2,59.0
3.6,72.6,71.4,46.7,7.8,65.8
3.1,75.6,79.1,64.3,8.1,66.2
6.6,82.4,77.3,60.4,7.9,80.4
5.0,90.5,58.6,57.6,7.2,67.0
7.1,54.5,100.0,71.6,7.9,87.3
6.5,73.6,48.8,59.8,7.9,58.7
5.3,80.6,51.8,59.2,7.9,65.1
3.6,67.0,71.5,63.2,6.0,67.0
2.2,98.8,99.8,84.6,5.7,85.7
4.5,70.4,55.5,44.7,6.5,50.3
7.4,77.5,64.0,42.1,7.0,65.6
6.0,84.7,84.2,73.4,6.7,82.7
2.8,70.9,67.7,66.3,4.7,63.3
5.9,55.8,63.0,52.7,9.1,56.9
6.3,72.9,76.5,61.0,6.7,72.1
3.6,90.4,72.1,71.0,7.2,70.2
5.8,74.0,83.5,68.8,8.5,80.3
5.6,67.8,87.4,83.5,4.2,74.3
3.0,89.1,72.6,77.1,6.4,70.2
6.3,74.0,72.4,71.0,6.5,73.8
6.7,71.9,71.2,68.2,6.6,70.0
7.9,79.8,75.3,56.0,6.8,77.9
7.8,87.2,68.8,69.9,8.7,79.5
2.5,100.0,68.0,70.4,7.8,71.8
3.4,87.9,85.9,79.1,8.1,76.5
6.6,91.9,90.7,81.8,7.1,92.0
6.6,71.9,45.4,51.6,5.3,52.9
6.6,65.7,68.2,80.5,4.5,70.0
12.0,78.7,57.7,55.8,5.2,80.1
6.8,79.3,63.3,67.1,7.4,74.2
8.0,65.1,74.0,58.2,7.0,74.0
7.6,75.9,78.0,73.2,6.7,81.2
6.9,82.8,66.3,69.7,6.6,68.8
4.8,82.3,39.3,50.1,9.4,61.0
7.2,84.1,53.5,68.8,6.0,72.5
3.8,81.5,81.4,63.1,8.1,77.1
5.0,71.9,30.0,35.6,7.0,35.5
4.4,71.8,85.8,71.8,6.9,74.2
5.7,63.6,75.8,69.6,8.4,73.2
10.6,99.4,87.7,79.5,8.8,94.5
1.4,78.2,65.0,70.6,6.7,63.8
7.0,75.3,37.1,38.9,8.0,60.3
2.0,66.9,74.5,53.6,7.4,69.4
4.5,100.0,87.1,80.4,7.0,80.9
7.9,65.1,81.9,65.7,7.2,82.0
5.6,72.9,58.1,59.5,6.2,69.1
3.1,83.0,69.3,63.6,6.6,64.3
3.9,85.2,60.0,56.6,6.3,58.9
7.0,89.5,55.7,57.4,8.1,61.9
3.9,99.7,82.3,75.4,6.9,85.4
6.0,84.1,50.0,51.1,5.4,59.5
5.6,65.3,54.6,49.7,6.1,54.1
4.1,74.9,51.4,48.8,4.0,52.8
10.2,81.7,45.6,57.4,6.4,71.2
6.9,100.0,70.2,70.2,7.0,81.9
1.0,61.2,85.4,85.3,6.8,68.0
5.9,92.4,65.2,65.2,9.4,83.1
4.0,80.2,45.4,45.6,7.7,51.7
7.4,88.1,80.6,92.7,7.6,98.6
3.8,76.8,93.3,78.8,5.0,82.3
5.2,67.9,58.3,62.0,6.6,63.8
6.6,87.0,60.8,64.9,6.4,70.9
7.4,85.9,75.7,73.1,6.1,86.5
2.9,89.7,92.3,82.5,6.0,81.9
4.8,77.8,60.2,48.7,4.8,54.7
4.5,70.8,48.0,52.0,5.5,48.1
4.1,59.3,77.5,51.9,8.0,67.6
9.4,87.8,80.0,69.6,6.8,85.5
6.4,83.1,68.1,57.4,6.4,71.4
2.7,66.4,59.6,57.2,7.0,60.0
7.5,71.5,82.9,71.1,8.4,86.1
10.2,72.4,75.9,68.7,7.0,83.4
7.8,60.2,56.5,53.4,7.6,71.7
2.2,68.2,68.7,55.0,6.0,59.6
4.4,64.4,47.7,45.2,6.3,54.4
8.3,73.1,78.3,73.7,7.4,74.4
3.9,69.1,64.1,66.1,9.3,67.0
6.5,58.5,61.5,44.3,8.7,66.7
7.2,100.0,67.5,54.9,7.7,85.2
3.5,93.0,68.6,60.2,7.2,61.3
5.4,68.7,81.4,75.3,8.7,84.8
0.5,81.3,76.9,77.3,8.0,74.2
3.2,83.0,65.7,54.5,4.2,50.2
4.9,92.3,79.5,74.3,5.7,80.8
2.8,68.2,74.0,77.4,7.4,71.0
9.1,91.1,61.6,65.0,4.9,76.1
2.4,71.4,66.1,70.6,5.9,58.6
4.5,62.0,65.8,64.7,6.2,66.1
5.8,86.7,75.6,61.0,6.7,72.9
8.7,93.5,62.5,61.2,6.7,77.3
2.3,100.0,62.1,64.4,6.7,67.2
8.1,63.6,97.5,75.4,8.0,100.0
5.5,86.4,82.1,79.1,6.7,84.9
3.3,73.1,56.6,57.7,6.5,56.9
6.5,87.4,76.6,45.5,5.4,70.6
5.9,60.4,69.8,48.0,8.2,61.6
4.2,62.8,73.9,43.8,6.2,66.1
5.7,68.7,70.1,62.1,5.7,67.7
4.7,78.9,85.8,73.8,7.3,85.1
5.7,70.3,73.2,65.1,6.1,69.9
7.0,85.9,67.1,55.7,6.4,70.0
9.0,90.3,83.6,78.9,7.3,95.5
2.8,85.2,71.5,71.4,6.6,67.7
10.2,97.4,69.8,57.7,9.8,83.3
1.2,83.0,72.7,54.0,6.9,68.2
5.2,63.4,66.6,57.5,7.7,62.4
6.8,94.4,68.1,80.4,4.7,83.2
6.1,70.7,59.2,68.8,6.0,70.4
4.1,88.9,56.7,62.9,5.7,56.4
5.0,96.9,53.0,52.5,5.9,57.3
4.4,83.5,47.1,58.9,7.5,56.6
4.2,60.0,54.8,46.5,8.2,50.2
7.4,67.0,65.4,51.6,7.4,77.1
6.3,93.9,69.5,49.5,6.7,71.7
4.0,76.0,63.9,60.0,6.2,66.5
7.5,79.0,32.7,37.7,8.3,56.0
6.2,87.1,91.6,77.9,9.5,92.7
7.3,86.4,84.3,54.6,7.2,82.8
6.9,81.3,74.7,67.8,8.1,85.7
3.7,75.5,96.6,57.6,7.4,74.2
4.3,74.2,53.3,61.6,7.9,67.7
7.1,88.3,96.3,84.2,5.6,88.2
6.8,84.6,53.5,53.3,6.4,68.5
5.5,74.9,71.6,67.6,7.5,66.7
5.8,91.0,48.9,46.8,8.5,60.5
8.3,76.5,68.2,62.2,6.0,76.6
4.2,67.8,73.8,68.9,4.6,64.5
6.7,68.9,65.7,33.6,6.4,61.7
5.1,66.3,78.7,61.3,8.2,66.6
5.0,74.7,69.5,61.7,5.1,62.4
7.9,92.8,60.2,59.7,5.6,75.8
7.3,68.3,59.5,66.5,7.2,70.2
7.3,80.3,80.2,60.2,6.9,77.4
8.4,70.1,58.2,49.6,7.7,74.9
5.5,74.9,81.7,53.3,5.5,66.8
7.0,59.9,86.3,79.5,6.6,81.5
4.8,75.4,43.0,45.5,8.4,50.7
6.2,75.7,85.0,67.2,5.6,82.2
5.2,84.5,98.9,80.1,8.8,91.9
5.7,80.7,71.8,69.8,5.7,73.1
6.8,63.6,77.0,66.0,8.0,68.6
3.7,91.0,83.6,94.9,6.6,87.2
10.1,80.5,63.9,63.9,5.6,78.6
3.3,80.4,70.7,60.3,6.4,65.6
2.8,77.9,48.3,46.5,7.7,47.0
8.0,71.8,70.1,58.4,7.0,71.3
7.2,80.6,75.5,54.7,8.3,84.8
6.9,83.7,75.7,67.9,8.7,73.7
6.9,57.0,84.0,71.7,5.6,73.4
5.5,71.5,56.4,49.0,5.5,65.1
3.5,74.9,60.0,50.3,5.4,58.7
5.7,81.1,96.4,90.4,5.9,89.3
4.0,92.3,65.7,52.8,8.3,72.5
7.6,68.7,71.0,44.7,7.7,73.5
5.2,72.0,67.0,50.6,6.3,65.1
3.7,71.8,55.7,41.3,7.0,54.1
4.8,68.4,92.4,76.0,8.7,85.3
6.4,73.8,60.1,53.6,9.3,70.2
4.3,87.2,51.1,53.1,7.3,68.6
3.7,65.4,61.2,64.2,4.0,56.2
6.0,83.1,38.0,41.1,7.4,52.4
6.0,57.6,58.2,57.6,8.1,57.0
4.4,71.3,53.5,64.3,7.3,59.5
4.5,74.0,77.3,62.4,7.9,80.5
6.0,98.1,57.9,67.3,7.4,76.7
2.3,74.7,81.3,66.5,5.5,64.6
2.4,51.6,89.0,74.2,5.9,68.9
3.9,54.0,79.7,49.8,6.6,57.4
5.0,78.4,64.8,47.1,8.3,60.5
6.2,85.4,70.1,61.8,6.1,74.1
8.7,82.5,45.1,43.3,7.5,61.9
7.4,80.0,66.0,57.2,7.4,68.9
5.1,91.9,55.1,56.5,8.9,68.3
5.5,71.5,78.4,71.8,6.9,75.7
3.3,88.7,100.0,78.9,4.9,76.9
5.5,58.4,75.5,54.5,7.8,59.3
4.9,67.1,38.1,39.9,9.6,46.5
6.2,56.3,62.6,47.4,7.9,55.0
3.7,74.7,69.8,54.6,6.1,54.4
6.6,77.4,69.3,49.6,5.7,74.1
8.9,79.4,57.0,56.8,5.9,71.0
5.3,78.7,71.7,59.6,9.4,72.0
6.4,66.9,49.4,56.6,6.6,58.6
7.0,75.7,53.8,41.9,6.2,55.7
4.6,60.0,77.7,58.4,6.8,69.5
6.0,94.4,52.8,72.1,6.6,68.9
5.5,74.4,76.1,57.9,8.9,70.7
5.7,72.1,47.5,47.3,5.8,51.9
3.8,97.1,94.5,71.5,8.4,80.4
5.6,63.1,56.4,41.0,7.1,54.8
6.6,64.5,64.6,69.0,8.4,70.6
8.7,64.8,73.0,62.7,8.9,78.2
7.6,77.2,59.5,58.1,7.1,70.6
10.2,83.2,70.2,50.8,6.6,80.8
3.8,86.9,76.6,71.7,7.1,75.1
7.4,100.0,82.4,84.6,6.9,96.1
5.9,51.0,79.9,70.9,5.0,74.3
10.3,85.3,65.4,67.6,8.9,90.3
3.7,71.3,65.8,50.0,7.3,56.4
3.7,71.0,100.0,80.3,5.6,80.2
4.2,70.6,82.2,73.2,4.5,75.2
0.8,67.1,54.2,37.2,4.2,43.0
4.3,98.2,69.5,58.8,7.9,68.7
3.8,88.1,63.0,68.8,6.3,69.0
5.8,78.3,66.0,67.9,6.5,66.6
6.3,94.2,49.6,43.4,7.6,64.6
9.6,59.8,61.8,60.3,6.4,72.9
7.6,62.0,95.2,73.6,7.7,82.7
4.2,51.9,76.7,66.4,7.1,64.9
3.5,69.6,30.6,34.2,6.9,48.0
6.6,79.9,86.3,77.6,5.1,85.0
2.6,79.2,84.3,77.9,6.0,83.9
9.5,79.8,62.6,56.6,7.7,71.1
8.1,61.1,78.8,63.8,6.2,81.6
4.5,87.6,55.1,52.0,8.4,50.7
1.7,80.9,60.9,71.9,9.8,62.6
8.5,86.8,90.5,75.5,7.8,97.4
5.2,55.3,63.9,46.6,8.8,64.5
8.2,81.7,40.0,41.7,7.9,56.6
2.0,63.7,67.1,58.8,6.4,60.9
4.2,73.2,66.8,66.1,7.2,63.9
5.5,84.4,86.0,62.7,9.4,81.8
5.6,79.1,68.2,77.1,6.4,71.8
4.5,67.8,61.7,58.4,5.8,55.2
6.9,78.1,83.7,74.3,5.6,90.0
3.2,59.6,69.8,57.5,6.7,60.0
5.2,91.8,56.7,59.3,5.8,69.6
5.8,75.5,85.3,69.6,9.0,87.2
6.6,91.4,70.9,75.0,7.3,76.2
7.1,71.7,68.0,60.3,8.2,79.2
3.0,71.7,70.7,67.9,6.6,66.9
2.1,68.8,51.9,47.3,5.6,41.9
8.3,88.5,60.1,61.7,5.4,76.0
6.2,69.5,68.1,53.4,5.9,62.4
3.9,85.7,65.1,72.0,7.4,76.2
8.9,73.4,87.1,64.6,7.6,92.0
5.8,54.3,71.3,55.2,7.7,66.3
8.1,71.2,80.8,64.7,5.2,86.2
5.6,63.9,68.1,55.6,7.0,58.8
10.0,78.4,83.8,76.5,5.8,88.5
9.4,63.7,74.0,59.1,7.5,78.8
5.0,89.1,68.2,75.9,7.6,85.2
7.6,76.9,67.8,55.0,5.6,67.2
6.9,75.9,53.7,54.9,8.2,58.1
8.5,85.9,75.6,61.8,9.8,79.3
3.4,89.6,67.4,67.8,8.0,73.1
7.0,77.8,60.5,57.6,6.8,66.3
7.8,68.7,84.6,67.5,6.6,82.4
1.6,56.7,49.2,55.7,6.7,48.2
2.9,69.8,61.7,51.2,6.1,54.3
1.0,70.6,83.4,73.2,7.3,68.3
4.9,79.3,72.7,58.7,5.6,71.2
7.1,73.9,67.3,61.4,4.7,68.7
8.8,86.3,71.8,56.5,7.3,80.3
5.7,70.6,70.7,56.2,7.0,70.0
9.1,77.3,45.3,48.6,6.3,68.2
2.5,92.2,62.8,77.1,5.5,61.3
1.8,82.1,92.2,77.0,7.3,63.3
5.4,77.3,58.1,69.5,5.8,68.6
6.3,70.8,63.2,59.2,6.8,71.7
5.4,70.4,59.9,52.4,9.1,65.0
1.0,67.8,66.7,70.9,7.8,59.9
5.3,71.5,59.3,59.0,5.4,59.2
2.6,87.1,75.3,63.0,5.5,68.8
7.0,75.3,71.0,66.6,7.2,80.0
6.3,61.8,79.6,61.9,5.3,73.0
3.4,99.2,52.2,42.6,4.6,65.2
4.4,81.8,62.9,67.5,7.6,60.4
3.2,61.1,64.6,64.6,7.4,60.8
5.4,72.7,74.8,79.0,7.5,71.4
7.6,79.3,56.1,59.1,7.3,73.6
3.3,98.5,81.7,72.6,6.9,70.4
6.6,64.7,85.8,75.0,6.2,75.2
4.3,89.7,53.2,63.5,7.6,60.3
3.8,94.8,60.6,75.1,8.8,71.7
5.3,70.5,60.0,55.3,6.4,59.2
3.2,74.7,100.0,77.4,5.8,78.8
4.3,65.6,61.6,49.6,5.6,56.1
2.9,75.6,93.2,79.5,6.0,77.2
9.8,77.6,49.0,39.0,7.2,73.2
5.6,85.9,53.2,61.9,4.4,65.2
4.0,91.1,57.7,64.2,7.5,63.4
6.0,69.0,55.3,57.3,7.8,72.5
5.3,54.4,64.0,54.9,4.8,61.1
5.0,77.7,57.4,68.3,5.8,59.6
6.9,81.5,55.7,63.0,7.1,70.0
7.2,81.0,85.4,67.4,6.8,87.0
4.3,74.1,86.4,66.3,7.6,73.6
4.2,79.5,82.2,63.0,6.8,69.1
4.9,96.2,75.9,75.2,8.5,81.1
0.5,82.6,69.4,55.8,6.6,55.1
2.2,73.5,60.5,65.3,5.8,63.2
8.5,72.0,53.7,63.1,5.7,72.1
9.1,76.0,73.4,57.3,7.9,78.4
5.0,97.6,50.4,55.6,7.0,64.5
6.8,75.8,53.1,53.3,7.8,70.2
6.2,77.8,85.3,78.4,7.7,78.7
12.0,72.2,96.5,89.0,4.6,99.2
8.0,91.2,73.9,55.0,5.6,78.8
5.2,100.0,84.6,74.0,5.8,83.6
3.4,83.4,64.3,59.1,6.0,61.9
2.0,79.0,47.9,39.9,6.5,44.1
5.9,78.4,77.2,63.2,8.2,75.6
3.8,49.4,76.5,62.8,8.4,67.3
2.4,86.9,69.1,62.5,6.6,69.1
4.1,79.6,64.4,48.0,6.7,59.0
3.1,83.1,82.4,94.1,6.2,89.9
9.2,69.5,53.2,53.8,7.1,77.7
7.4,73.4,56.4,55.3,7.2,73.0
5.5,73.1,52.9,43.6,8.0,61.0
8.8,90.3,69.3,67.8,8.0,93.2
5.7,73.5,51.7,50.5,4.2,54.9
3.6,100.0,57.7,46.6,6.8,56.8
8.9,83.2,57.4,48.8,8.7,70.9
6.7,62.7,64.1,62.3,6.5,63.3
3.2,76.5,45.7,64.8,8.4,55.7
5.1,70.2,69.3,63.6,6.6,69.4
3.6,51.7,86.7,74.4,7.2,73.0
2.5,97.2,70.0,66.6,5.6,66.7
7.5,86.4,91.1,76.0,5.7,90.8
9.7,84.4,88.0,83.2,7.9,100.0
2.4,80.0,79.7,82.1,8.1,76.9
6.7,61.4,69.1,68.8,7.0,76.2
4.1,72.2,68.3,52.1,5.5,62.3
4.4,88.1,79.5,70.2,7.1,69.6
4.2,65.4,62.1,57.7,8.5,53.6
3.6,47.6,39.8,36.7,9.1,50.6
5.6,75.3,75.4,68.4,6.6,72.1
3.7,76.3,51.0,58.7,5.0,51.3
6.1,79.6,53.6,62.4,8.0,67.2
5.4,86.7,68.0,77.6,6.7,77.6
5.0,85.7,66.6,60.4,8.1,73.4
3.5,81.1,46.8,40.1,7.3,58.1
4.2,92.3,70.5,69.7,5.9,78.3
7.2,59.8,82.5,80.4,7.1,78.8
6.6,84.1,51.1,50.3,8.6,69.0
3.3,85.5,87.1,79.8,6.8,77.5
5.7,63.1,44.6,50.9,5.8,51.8
7.2,60.0,99.8,76.4,5.1,82.9
1.8,69.0,61.8,56.3,6.1,45.7
6.7,70.1,70.2,53.7,6.5,69.9
4.0,87.0,39.6,30.3,8.0,43.1
6.8,70.6,67.1,50.7,5.7,71.6
3.8,67.7,71.4,58.1,8.9,64.9
1.5,70.7,66.7,68.1,5.4,58.9
1.9,91.4,59.6,59.8,9.8,67.7
5.6,78.2,53.8,50.0,9.1,55.9
6.1,75.8,85.0,63.6,7.2,76.7
3.5,76.7,68.5,67.1,5.0,64.9
6.9,93.5,91.1,89.3,6.9,96.0
1.8,69.0,60.1,63.8,6.5,59.7
5.4,93.8,61.5,67.1,5.5,73.5
2.8,80.5,80.2,57.4,7.3,69.0
4.1,76.1,43.7,45.2,6.0,50.5
5.6,100.0,49.8,73.0,6.1,69.3
3.6,65.3,84.5,76.8,6.8,67.4
4.7,73.8,50.4,38.9,6.3,51.5
7.7,63.2,40.7,42.7,9.5,58.5
4.2,89.4,96.0,83.1,6.4,89.1
7.3,98.3,47.1,49.4,7.5,61.9
3.0,98.0,70.8,50.0,7.2,60.4
6.7,92.7,69.0,66.9,7.4,77.1
8.7,75.6,30.0,34.1,7.5,62.0
0.5,73.6,64.0,52.3,8.1,49.2
3.7,57.9,74.7,57.7,7.3,69.1
6.8,100.0,73.3,69.2,7.3,89.6
5.1,83.6,81.6,70.7,7.1,79.1
6.3,72.1,62.2,50.2,6.8,61.9
4.2,93.9,78.7,70.0,5.9,78.2
5.7,66.3,57.7,39.3,6.9,58.4
5.2,82.9,46.8,54.0,7.3,54.5
8.1,75.9,48.5,30.0,7.5,56.6
6.1,85.7,46.1,49.5,7.2,61.7
6.2,77.2,83.1,77.4,6.7,86.7
4.6,60.6,45.3,36.6,6.9,45.4
4.4,78.9,72.1,70.1,6.3,70.3
4.5,90.6,64.0,72.1,7.4,74.0
6.4,77.6,66.5,34.5,6.7,63.6
4.6,87.3,88.5,74.3,7.2,81.3
6.1,65.5,61.4,32.1,8.2,56.3
10.1,77.7,77.2,65.9,6.1,83.0
7.4,70.5,68.6,60.3,7.7,86.1
4.8,87.0,65.7,43.0,7.0,63.3
8.1,78.4,100.0,95.0,9.4,100.0
4.6,86.3,46.4,54.4,6.7,64.4
1.0,91.1,87.3,69.0,7.8,71.9
3.3,86.3,77.8,81.1,7.0,77.1
1.4,81.3,60.8,44.4,5.3,50.9
4.7,66.0,92.4,62.5,6.4,69.5
5.5,78.0,40.3,30.0,8.1,42.9
9.2,71.6,60.2,70.4,6.5,76.5
6.2,73.9,49.9,53.6,4.3,55.6
5.0,73.5,74.2,69.5,7.0,81.2
7.3,66.2,51.3,52.2,5.7,59.5
0.6,54.5,74.5,64.2,7.2,65.2
6.0,70.0,65.2,59.0,8.9,67.4
7.2,80.3,60.8,60.7,7.9,80.6
2.2,61.8,73.8,61.9,8.8,65.1
8.0,78.2,64.0,54.9,6.3,74.7
